x_um_0deg,y1_left,y2_right,y3_bottom,y4_top,y_mean_0,x_um_rot,y5_left_rot,y6_right_rot,y7_bottom_rot,y8_top_rot,y_mean_rot
0.0,-9.207158816822183,-8.58832741218351,-9.207158816822183,-7.7942682566712485,-8.69922832562478,0.0,-6.868384,-7.975422,-6.868384,-6.4810624,-7.0483127
0.8918918918918919,-7.965263887896185,-7.536848916993548,-9.28988222883499,-8.444356850155945,-8.309087970970168,0.8918918918918919,-2.544757,-7.1549563,-8.13913,-3.3694336,-5.302069
1.7837837837837838,-9.160784853099944,-8.945407672290404,-11.113473772420063,-9.125577598463533,-9.586310974068486,1.7837837837837838,-1.0487698,-6.4280906,-7.5741396,-4.988823,-5.009956
2.6756756756756754,-8.392290503527622,-8.55128657451854,-10.39257814853992,-0.0318305870113251,-6.841996453399351,2.6756756756756754,-5.287907,-7.232021,-7.637826,-3.674707,-5.958115
3.5675675675675675,-7.69121709911672,-8.804233590271096,-10.118963717871502,-6.183852694898103,-8.199566775539356,3.5675675675675675,-10.983069,-7.323743,-8.393191,-3.073134,-7.4432845
4.45945945945946,-7.613195162121787,-8.556589790225495,-11.85589338029283,-3.6316875506453363,-7.914341470821362,4.45945945945946,-9.127932,-7.669144,-8.182096,-6.126592,-7.776441
5.351351351351351,-6.744816310071402,-9.487120030025462,-10.901503081637186,-3.838926381373479,-7.743091450776883,5.351351351351351,-8.143113,-8.080118,-8.861184,-6.1359787,-7.8050985
6.243243243243243,-7.259743005033833,-8.70301578461929,-10.546508858613333,-4.875541925543471,-7.846202393452481,6.243243243243243,-7.6492853,-8.499751,-8.723368,-5.418702,-7.572777
7.135135135135135,-6.897997663560358,-8.97248335714023,-10.360654975494608,-3.110322381076211,-7.335364594317852,7.135135135135135,-7.6461887,-7.725089,-9.840412,-5.785396,-7.7492714
8.027027027027026,-7.880152341441861,-9.040988695245359,-9.777100828498893,-2.9616585639240416,-7.414975107277538,8.027027027027026,-7.904497,-8.307498,-9.282412,-7.5594487,-8.263464
8.91891891891892,-7.732076034390695,-9.157940800100198,-9.605862598274166,-2.133195646805914,-7.157268769892743,8.91891891891892,-7.83607,-8.864918,-9.143927,-8.050018,-8.473734
9.81081081081081,-6.998860224956901,-8.967723871696975,-9.941870821247827,-1.0043928052448285,-6.728211930786633,9.81081081081081,-7.105253,-9.131872,-8.684842,-2.907969,-6.957484
10.702702702702702,-3.9222145659914824,-9.714784363432434,-10.093942759056501,-3.7208601254638767,-6.862950453486074,10.702702702702702,-7.5473557,-9.415182,-8.335576,-6.315483,-7.9033995
11.594594594594595,-9.445879304763736,-10.166398639557947,-8.969648960391085,-4.425128672282256,-8.251763894248755,11.594594594594595,-8.25919,-9.656384,-8.460062,-6.9418664,-8.329375
12.486486486486486,-10.176152554045343,-10.773108089696352,-8.561673842676402,-5.4433227258493675,-8.738564303066866,12.486486486486486,-3.980506,-9.380818,-8.840584,-5.4066534,-6.9021406
13.378378378378379,-11.247924885124284,-10.179494115168367,-9.330534581395552,-6.2282217135624,-9.246543823812651,13.378378378378379,-10.0425625,-9.487109,-8.12069,-5.3740087,-8.256092
